ID Year,Year,ID Industry Group,Industry Group,ID Workforce Status,Workforce Status,Total Population,Average Wage,Average Wage Appx MOE,Total Population MOE Appx,Record Count,CIP2,ID CIP2
2015,"2015","6111","Elementary & secondary schools","true","true",5045,53003.01149653122,8585.239448475353,1743.80306871829,255,"Library Science","25"
2015,"2015","611M1","Colleges, universities & professional schools, including junior colleges","true","true",3124,47575.00704225352,12942.761390063295,1372.2251521942956,149,"Library Science","25"
2014,"2014","23","Construction","true","true",108,66079.69444444444,86338.5704716734,255.14464884342343,6,"Library Science","25"
2014,"2014","5415","Computer Systems Design","true","true",286,107049.8006993007,73120.04889935796,415.1999757549504,14,"Library Science","25"
2014,"2014","6111","Elementary & secondary schools","true","true",5419,53672.90994648459,8533.64060535795,1807.2810676302379,276,"Library Science","25"
2014,"2014","611M1","Colleges, universities & professional schools, including junior colleges","true","true",2932,50592.74863574352,14143.229490930287,1329.3889654493212,151,"Library Science","25"
2020,"2020","23","Construction","true","true",252914,103187.49406913022,4442.9633975702645,12336.45476628623,11645,"Engineering","14"
2020,"2020","5413","Architectural, engineering & related services","true","true",417748,110282.98991257888,2980.2689099467602,15845.98001618823,20311,"Engineering","14"
2020,"2020","5415","Computer Systems Design","true","true",387002,136712.81131363663,3903.587633665119,15253.29546660592,17787,"Engineering","14"
2020,"2020","6111","Elementary & secondary schools","true","true",78064,57918.52664480426,3750.0454848549707,6857.815059479596,3982,"Engineering","14"
2020,"2020","611M1","Colleges, universities & professional schools, including junior colleges","true","true",196753,72213.73261398809,4241.431977179191,10882.959553800885,9484,"Engineering","14"
2019,"2019","23","Construction","true","true",235071,102863.31788693629,4582.351392008275,11893.998116679839,11456,"Engineering","14"
2019,"2019","5413","Architectural, engineering & related services","true","true",408524,109799.22445192939,3026.43270323413,15670.438734593221,20740,"Engineering","14"
2019,"2019","5415","Computer Systems Design","true","true",364144,131488.69033678985,3845.2414948919563,14797.027091656508,17394,"Engineering","14"
2019,"2019","6111","Elementary & secondary schools","true","true",76017,56533.884683689175,3857.5524912863475,6767.34250136972,3984,"Engineering","14"
2019,"2019","611M1","Colleges, universities & professional schools, including junior colleges","true","true",192776,71505.71509420259,4233.1244275717045,10772.517061801365,9674,"Engineering","14"
2018,"2018","23","Construction","true","true",223924,99657.38252710742,4458.994795907397,11608.878721480765,10768,"Engineering","14"
2018,"2018","5413","Architectural, engineering & related services","true","true",397236,107395.70196054738,2980.9100638720165,15452.71395023383,20026,"Engineering","14"
2018,"2018","5415","Computer Systems Design","true","true",337201,124924.55565968073,3731.9163539782294,14240.1581729009,16012,"Engineering","14"
2018,"2018","6111","Elementary & secondary schools","true","true",74340,55026.102838310464,3547.4839687826634,6692.292936260936,3875,"Engineering","14"
2018,"2018","611M1","Colleges, universities & professional schools, including junior colleges","true","true",184175,69743.25853128817,4192.677037925555,10529.670014518748,9251,"Engineering","14"
2017,"2017","23","Construction","true","true",214503,97185.12841778436,4473.151739221471,11362.29730589756,10371,"Engineering","14"
2017,"2017","5413","Architectural, engineering & related services","true","true",389409,104755.23691799624,2914.4918491811327,15299.838578222492,19597,"Engineering","14"
2017,"2017","5415","Computer Systems Design","true","true",312772,119297.10803077002,3647.34185445075,13715.58098221956,14965,"Engineering","14"
2017,"2017","6111","Elementary & secondary schools","true","true",70762,53733.79122975608,3496.8764583251614,6529.31394626598,3699,"Engineering","14"
2017,"2017","611M1","Colleges, universities & professional schools, including junior colleges","true","true",178294,67518.80526546043,4079.513892134536,10360.310539948867,8989,"Engineering","14"
2016,"2016","23","Construction","true","true",208410,95416.2565711818,4331.8148453176545,11199.854854368163,10125,"Engineering","14"
2016,"2016","5413","Architectural, engineering & related services","true","true",378683,101879.48647285461,2851.29870633504,15087.868289641094,19098,"Engineering","14"
2016,"2016","5415","Computer Systems Design","true","true",292082,114476.59083750454,3582.1112272473697,13254.89368228781,13853,"Engineering","14"
2016,"2016","6111","Elementary & secondary schools","true","true",65358,52838.20048043086,3619.1758699036827,6275.138552880482,3439,"Engineering","14"
2016,"2016","611M1","Colleges, universities & professional schools, including junior colleges","true","true",170983,64980.07286104467,4028.283916277819,10145.82531337869,8561,"Engineering","14"
2015,"2015","23","Construction","true","true",201410,93780.93539546199,4260.953103345955,11010.306461936007,9771,"Engineering","14"
2015,"2015","5413","Architectural, engineering & related services","true","true",370694,100224.15285383632,2784.0493989757356,14927.972674194036,18561,"Engineering","14"
2015,"2015","5415","Computer Systems Design","true","true",270235,110917.85095194924,3517.9483661011604,12750.336575091982,12607,"Engineering","14"
2015,"2015","6111","Elementary & secondary schools","true","true",62096,52070.35867044576,3592.1855586687575,6116.588118753116,3237,"Engineering","14"
2015,"2015","611M1","Colleges, universities & professional schools, including junior colleges","true","true",167603,64970.373871589414,4089.0923716597417,10045.066988925684,8400,"Engineering","14"
2014,"2014","23","Construction","true","true",198025,94214.42713293777,4250.5385233816005,10917.39437828732,9693,"Engineering","14"
2014,"2014","5413","Architectural, engineering & related services","true","true",366726,99792.06571391175,2731.4498055596027,14847.743811012815,18490,"Engineering","14"
2014,"2014","5415","Computer Systems Design","true","true",252068,110090.18029658664,3593.6342683371468,12314.919831628366,11770,"Engineering","14"
