ID CIP2,CIP2,ID CIP4,CIP4,ID CIP6,CIP6,ID Year,Year,ID Carnegie Parent,Carnegie Parent,ID Carnegie,Carnegie,ID University,University,ID Degree,Degree,Completions,Slug University,Slug CIP6
"03","Natural Resources & Conservation","0301","Natural Resource Conservation & Research","030103","Environmental Studies",2020,"2020","MAS","Masters Colleges and Universities","18","Masters Colleges & Universities: Larger Programs","122755","San Jose State University",5,"Bachelors Degree",0,"san-jose-state-university","environmental-studies"
"03","Natural Resources & Conservation","0301","Natural Resource Conservation & Research","030104","Environmental Science",2020,"2020","MAS","Masters Colleges and Universities","18","Masters Colleges & Universities: Larger Programs","122755","San Jose State University",5,"Bachelors Degree",61,"san-jose-state-university","environmental-science"
"05","Cultural & Gender Studies","0502","Ethnic, Cultural, & Gender Group Studies","050201","African-American & Black Studies",2020,"2020","MAS","Masters Colleges and Universities","18","Masters Colleges & Universities: Larger Programs","122755","San Jose State University",5,"Bachelors Degree",5,"san-jose-state-university","african-american-black-studies"
"05","Cultural & Gender Studies","0502","Ethnic, Cultural, & Gender Group Studies","050203","Hispanic-American, Puerto Rican, & Mexican-American Studies",2020,"2020","MAS","Masters Colleges and Universities","18","Masters Colleges & Universities: Larger Programs","122755","San Jose State University",5,"Bachelors Degree",3,"san-jose-state-university","hispanic-american-puerto-rican-mexican-american-studies"
"09","Communications","0901","Communication and Media Studies","090101","Speech Communication & Rhetoric",2020,"2020","MAS","Masters Colleges and Universities","18","Masters Colleges & Universities: Larger Programs","122755","San Jose State University",5,"Bachelors Degree",273,"san-jose-state-university","speech-communication-rhetoric"
"09","Communications","0904","Journalism","090401","Journalism",2020,"2020","MAS","Masters Colleges and Universities","18","Masters Colleges & Universities: Larger Programs","122755","San Jose State University",5,"Bachelors Degree",27,"san-jose-state-university","journalism-090401"
"09","Communications","0907","Radio, Television, & Digital Communication","090701","Radio & Television",2020,"2020","MAS","Masters Colleges and Universities","18","Masters Colleges & Universities: Larger Programs","122755","San Jose State University",5,"Bachelors Degree",51,"san-jose-state-university","radio-television"
"09","Communications","0909","Public Relations, Advertising, & Applied Communication","090902","Public Relations & Image Management",2020,"2020","MAS","Masters Colleges and Universities","18","Masters Colleges & Universities: Larger Programs","122755","San Jose State University",5,"Bachelors Degree",60,"san-jose-state-university","public-relations-image-management"
"09","Communications","0909","Public Relations, Advertising, & Applied Communication","090903","Advertising",2020,"2020","MAS","Masters Colleges and Universities","18","Masters Colleges & Universities: Larger Programs","122755","San Jose State University",5,"Bachelors Degree",40,"san-jose-state-university","advertising"
"11","Computer and Information Sciences and Support Services","1107","Computer Science","110701","Computer Science",2020,"2020","MAS","Masters Colleges and Universities","18","Masters Colleges & Universities: Larger Programs","122755","San Jose State University",5,"Bachelors Degree",163,"san-jose-state-university","computer-science-110701"
